offset,seed,band,boots,how
8,F412,0,1,measured
9,3CDC,0,1,measured
10,8625,0,1,measured
12,18A3,0,1,measured
13,180C,0,1,measured
14,3AA6,0,1,measured
15,84F3,0,1,measured
16,84F3,0,1,measured
17,CC84,0,1,measured
22,58C1,0,1,measured
23,96DB,0,1,measured
24,DF29,0,1,measured
27,BAF0,0,1,measured
28,E3B4,0,1,measured
29,F6BF,0,1,measured
30,4001,0,1,measured
31,8865,0,1,measured
36,F699,0,1,measured
37,F699,0,1,measured
38,3FE6,0,1,measured
39,8925,0,1,measured
41,AB32,0,1,measured
42,F6FC,0,1,measured
43,3E48,0,1,measured
44,85F2,0,1,measured
45,CE8E,0,1,measured
46,208A,0,1,measured
51,6E3C,0,1,measured
52,C148,0,1,measured
53,0B00,0,1,measured
54,53C3,0,1,measured
55,9C38,0,1,measured
56,14A6,0,1,measured
57,5E03,0,1,measured
59,F1D3,0,1,measured
64,B0D6,0,1,measured
65,CC7F,0,1,measured
66,1BB9,0,1,measured
67,6344,0,1,measured
69,F55C,0,1,measured
71,8BB1,0,1,measured
72,CF07,0,1,measured
73,4417,0,1,measured
74,648C,0,1,measured
78,896B,0,1,measured
79,D33D,0,1,measured
80,17C7,0,1,measured
81,64B8,0,1,measured
85,89C0,0,1,measured
86,D523,0,1,measured
87,1CAB,0,1,measured
88,669F,0,1,measured
89,669F,0,1,measured
90,AFEF,0,1,measured
91,2414,0,1,measured
92,430E,0,1,measured
93,8D72,0,1,measured
94,D518,0,1,measured
95,626C,0,1,measured
97,FAF5,0,1,measured
99,B6C8,0,1,measured
100,D659,0,1,measured
101,2240,0,1,measured
102,6968,0,1,measured
103,B132,0,1,measured
104,FB34,0,1,measured
105,44F5,0,1,measured
106,8E73,0,1,measured
107,00B2,0,1,measured
108,1F51,0,1,measured
115,D73F,0,1,measured
116,20CA,0,1,measured
117,96D8,0,1,measured
118,AE0E,0,1,measured
119,F78E,0,1,measured
120,4007,0,1,measured
121,D220,0,1,measured
122,1BD2,0,1,measured
127,7606,0,1,measured
128,C054,0,1,measured
129,0F47,0,1,measured
131,A079,0,1,measured
132,E8EE,0,1,measured
133,2DE8,0,1,measured
134,7BFD,0,1,measured
135,C497,0,1,measured
141,436E,0,1,measured
142,E93E,0,1,measured
146,FFBD,0,1,measured
147,4964,0,1,measured
148,9226,0,1,measured
149,DB60,0,1,measured
150,248B,0,1,measured
155,9507,0,1,measured
156,E2C3,0,1,measured
157,2C67,0,1,measured
158,74DF,0,1,measured
162,97E9,0,1,measured
163,C487,0,1,measured
164,0DEF,0,1,measured
166,9FE3,0,1,measured
169,7D64,0,1,measured
170,C221,0,1,measured
176,5EE3,0,1,measured
177,8C5C,0,1,measured
178,D567,0,1,measured
180,D0F6,0,1,measured
183,9400,0,1,measured
184,DD86,0,1,measured
185,2291,0,1,measured
190,94C9,0,1,measured
191,E00E,0,1,measured
192,2569,0,1,measured
193,91FC,0,1,measured
195,063D,0,1,measured
197,9887,0,1,measured
198,E237,0,1,measured
199,2CAF,0,1,measured
200,690B,0,1,measured
204,834E,0,1,measured
205,CCB2,0,1,measured
206,503B,0,1,measured
207,818C,0,1,measured
208,CB12,0,1,measured
210,5CE4,0,1,measured
211,A65A,0,1,measured
212,F37C,0,1,measured
214,7EF0,0,1,measured
215,9F0B,0,1,measured
218,8361,0,1,measured
219,0670,0,1,measured
220,2AED,0,1,measured
221,7613,0,1,measured
222,BD02,0,1,measured
223,05D1,0,1,measured
224,4F0F,0,1,measured
225,98C5,0,1,measured
228,512E,0,1,measured
232,6C59,0,1,measured
233,B186,0,1,measured
234,FA50,0,1,measured
236,8D16,0,1,measured
237,D694,0,1,measured
238,1F45,0,1,measured
239,6873,0,1,measured
240,B1D9,0,1,measured
241,DD3F,0,1,measured
242,080B,0,1,measured
246,7CC3,0,1,measured
247,C67D,0,1,measured
248,0E17,0,1,measured
251,EB30,0,1,measured
252,3314,0,1,measured
254,B30A,0,1,measured
255,FBE6,0,1,measured
256,450E,0,1,measured
